ID,Date,Open,High,Low,Close,Vol.,Change %
802,2015-8-21,15.05,15.1,14.9,15,7970000,-0.0066
803,2015-8-24,14.95,15,13.95,14.35,6960000,-0.0433
804,2015-8-25,14.35,14.35,13.9,13.95,7870000,-0.0279
805,2015-8-26,13.95,13.95,12.8,13.45,5550000,-0.0358
806,2015-8-27,13,14.5,12.6,13.5,12520000,0.0037
807,2015-8-28,13.9,14.5,13.9,14.15,29190000,0.0481
808,2015-8-31,14.1,15,14,14.4,2230000,0.0177
809,2015-9-1,14.6,14.8,14.5,14.6,2910000,0.0139
810,2015-9-2,14.6,15.1,14.3,14.6,4430000,0.0000
811,2015-9-3,15,15.6,14.85,15.2,4530000,0.0411
812,2015-9-4,13.7,15.1,13.7,14.85,10770000,-0.0230
813,2015-9-7,14.8,14.85,14.5,14.6,13380000,-0.0168
814,2015-9-8,14.6,14.75,14.5,14.6,1120000,0.0000
815,2015-9-9,14.6,14.7,14,14.4,52580000,-0.0137
816,2015-9-10,14.6,14.6,14.05,14.4,2290000,0.0000
817,2015-9-11,14.4,14.65,14.4,14.55,3530000,0.0104
818,2015-9-14,14.6,14.9,14.55,14.7,3160000,0.0103
819,2015-9-15,14.65,15.4,14.65,15.15,11230000,0.0306
820,2015-9-16,15.2,15.2,14.8,14.95,6040000,-0.0132
821,2015-9-17,15,15.1,14.7,15,6120000,0.0033
822,2015-9-18,14.7,14.95,14.55,14.75,6630000,-0.0167
823,2015-9-21,14.65,15.2,14.5,14.9,4900000,0.0102
824,2015-9-22,14.9,15.2,14.6,15,9090000,0.0067
825,2015-9-23,15,15.2,15,15.1,9030000,0.0067
826,2015-9-24,15.1,15.2,15,15.15,3430000,0.0033
827,2015-9-25,15.1,15.3,15.05,15.15,7070000,0.0000
828,2015-9-28,15.2,15.25,15.1,15.2,15050000,0.0033
829,2015-9-29,15.25,15.25,14.8,15.15,13610000,-0.0033
830,2015-9-30,15,15.25,15,15.2,16380000,0.0033
831,2015-10-1,15.1,15.15,14.65,14.95,6460000,-0.0164
832,2015-10-2,14.9,14.95,14.2,14.45,13960000,-0.0334
833,2015-10-5,14.45,14.75,14.3,14.65,4230000,0.0138
834,2015-10-6,14.65,14.75,14.55,14.65,719900,0.0000
835,2015-10-7,14.65,14.75,14.6,14.65,16020000,0.0000
836,2015-10-8,14.65,14.8,14.55,14.7,3110000,0.0034
837,2015-10-9,14.7,15,14.7,14.8,4560000,0.0068
838,2015-10-12,14.7,15.05,14.6,14.95,6520000,0.0101
839,2015-10-13,14.8,15.15,14.7,15,3950000,0.0033
840,2015-10-14,14.85,15,14.2,14.7,5940000,-0.0200
841,2015-10-15,15,15,14.2,14.4,6010000,-0.0204
842,2015-10-16,14.2,14.75,14.2,14.55,7000000,0.0104
843,2015-10-19,14.5,15.05,14.5,14.75,2030000,0.0137
844,2015-10-21,15,15.1,14.6,15,8540000,0.0169
845,2015-10-22,15.05,15.1,14.75,14.95,2050000,-0.0033
846,2015-10-23,15,15.05,14.9,14.95,3190000,0.0000
847,2015-10-26,14.95,14.95,14.5,14.5,4250000,-0.0301
848,2015-10-27,14.55,14.65,14.5,14.5,5260000,0.0000
